학년도,년도,월,날짜,일정명
2018,2019,1,01.07 (월) ~ 01.09 (수),[재학생] 전과 / 학점•학기포기 신청
2018,2019,1,01.07 (월) ~ 01.08 (화),[교내 교과목] 계절학기 등록
2018,2019,1,01.09 (수) ~ 01.22 (화),[교내 교과목] 계절학기 설강
2018,2019,1,01.28 (월) ~ 01.30 (수),[재학생•복학생] 휴학원서 접수
2018,2019,2,02.04 (월) ~ 02.06 (수),설날연휴
2018,2019,2,02.07 (목) ~ 02.08 (금),복학원서 접수
2018,2019,2,02.07 (목),졸업•진급•입학 사정회 [교무위원회] 11:00
2018,2019,2,02.08 (금),[정시모집] 합격자 발표
2018,2019,2,02.11 (월) ~ 02.13 (수),"수시 1,2차, 정시 신입생 등록"
2018,2019,2,02.14 (목),재입학 등록
2018,2019,2,02.18 (월) ~ 02.19 (화),[2학년•3학년] 1학기 수강 신청
2018,2019,2,02.19 (화) ~ 02.20 (수),재학생•복학생 등록
2018,2019,2,02.21 (목) ~ 02.22 (금),[1학년•전공심화] 1학기 수강 신청
2018,2019,2,02.22 (금),제50회 학위수여식
2018,2019,2,02.28 (목),신입생 입학식 및 O.T
2019,2019,3,03.01 (금),삼일절
2019,2019,3,03.04 (월),개강
2019,2019,3,03.07 (목) ~ 03.08 (금),수강신청 정정
2019,2019,3,03.13 (수) ~ 03.14 (목),등록금 분할납부(2회차)/졸업보류 등록
2019,2019,3,03.13 (수) ~ 03.15 (금),조기졸업 신청
2019,2019,3,03.22 (금),복학만료일
2019,2019,4,04.02 (화),[학기 개시] 30일 경과
2019,2019,4,04.10 (수) ~ 04.11 (목),등록금 분할납부(3회차)
2019,2019,4,04.22 (월) ~ 04.26 (금),중간고사
2019,2019,5,05.01 (수),근로자의 날 → 보강일 : 6.11(화)
2019,2019,5,05.02 (목),[학기 개시] 60일 경과
2019,2019,5,05.05 (일),어린이날
2019,2019,5,05.06 (월),대체휴일 → 보강일 : 6.10(월)
2019,2019,5,05.08 (수) ~ 05.09 (목),등록금 분할납부(4회차)
2019,2019,5,05.12 (일),석가탄신일
2019,2019,5,05.16 (목) ~ 05.17 (금),노들축제
2019,2019,5,05.20 (월),개교기념일 → 보강일 : 6.12(수)
2019,2019,5,05.21 (화) ~ 05.23 (목),3년제 학과 수업연한 연장 신청
2019,2019,5,05.24 (금),"1학기 수업일수 3/4 경과, 일반휴학 종료"
2019,2019,6,06.01 (토),[학기 개시] 90일 경과
2019,2019,6,06.06 (목),현충일 → 보강일 : 6.13(목)
2019,2019,6,06.14 (금) ~ 06.20 (목),기말고사
2019,2019,6,06.21 (금),하계방학 및 현장실습
2019,2019,6,06.21 (금) ~ 06.27 (목),성적입력(2019.6.21-27 24:00)
2019,2019,6,06.21 (금) ~ 07.02 (화),강의평가 (2019.6.21-7.2 17:00)
2019,2019,6,06.28 (금) ~ 07.02 (화),성적열람 및 이의 신청
2019,2019,7,07.02 (화),1학기 성적 확정(18:00)
2019,2019,7,07.03 (수) ~ 07.04 (목),[교내 교과목] 계절학기 수강 신청
2019,2019,7,07.04 (목) ~ 07.08 (월),[재학생] 전과 / 학점•학기포기 신청
2019,2019,7,07.05 (금) ~ 07.08 (월),[교내 교과목] 계절학기 등록
2019,2019,7,07.09 (화) ~ 07.22 (월),[교내 교과목]계절학기 설강
2019,2019,7,07.11 (목),성적표 / 복학안내문 발송
2019,2019,7,07.22 (월) ~ 07.24 (수),2019-2 재입학 원서 접수
2019,2019,7,07.22 (월) ~ 07.24 (수),[재학생•복학생] 휴학원서 접수
2019,2019,7,07.25 (목) ~ 07.26 (금),복학원서 접수
2019,2019,8,08.05 (월) ~ 08.09 (금),대학 휴무기간
2019,2019,8,08.12 (월),후기 졸업 사정회 [교무위원회] 11:00
2019,2019,8,08.14 (수),후기 학위수여식
2019,2019,8,08.14 (수),재입학 등록
2019,2019,8,08.15 (목),광복절
2019,2019,8,08.19 (월) ~ 08.20 (화),[2•3학년] 2학기 수강 신청
2019,2019,8,08.20 (화) ~ 08.21 (수),재학생•복학생 등록
2019,2019,8,08.22 (목) ~ 08.23 (금),[1학년•전공심화] 2학기 수강 신청
2019,2019,8,08.22 (목) ~ 08.23 (금),등록금 분할납부(1회차)
2019,2019,9,09.02 (월),2학기 개강
2019,2019,9,09.05 (목) ~ 09.06 (금),수강신청 정정
2019,2019,9,09.06 (금) ~ 09.27 (금),[수시 1차 모집] 원서 접수
2019,2019,9,09.09 (월) ~ 09.10 (화),등록금 분할납부(2회차)
2019,2019,9,09.12 (목),추석연휴 → 보강일 : 12.9(월)
2019,2019,9,09.13 (금),추석연휴 → 보강일 : 12.10(화)
2019,2019,9,09.16 (월) ~ 09.17 (화),졸업보류 등록
2019,2019,9,09.20 (금),복학만료일
2019,2019,9,09.26 (목) ~ 09.27 (금),노들축제 및 체전
2019,2019,10,10.01 (화),[학기 개시] 30일 경과
2019,2019,10,10.03 (목),개천절 → 보강일 : 12.12(목)
2019,2019,10,10.07 (월) ~ 10.08 (화),등록금 분할납부(3회차)
2019,2019,10,10.08 (화) ~ 10.11 (금),제37회 학생졸업작품 전시회
2019,2019,10,10.09 (수),한글날 → 보강일 : 12.11(수)
2019,2019,10,10.25 (금),[수시 1차 모집] 합격자 발표
2019,2019,10,10.28 (월) ~ 11.01 (금),중간고사
2019,2019,10,10.31 (목),학기 개시 60일 경과
2019,2019,11,11.04 (월) ~ 11.05 (화),등록금 분할납부(4회차)
2019,2019,11,11.06 (수) ~ 11.20 (수),[수시 2차 모집] 원서 접수
2019,2019,11,11.07 (목) ~ 11.08 (금),실기교사 자격증 신청
2019,2019,11,11.25 (월),"2학기 수업일수 3/4 경과, 일반휴학 종료"
2019,2019,11,11.30 (토),[학기 개시] 90일 경과
2019,2019,12,12.09 (월),[수시 2차 모집] 합격자 발표
2019,2019,12,12.11 (수) ~ 12.13 (금),[수시모집] 예치금 등록
2019,2019,12,12.13 (금) ~ 12.19 (목),기말고사
2019,2019,12,12.20 (금) ~ 12.26 (목),성적입력(2019.12.20-26 24:00)
2019,2019,12,12.20 (금) ~ 12.31 (화),강의평가(2019.12.20-31 17:00)
2019,2019,12,12.20 (금),동계방학
2019,2019,12,12.25 (수),성탄절
2019,2019,12,12.27 (금) ~ 12.31 (화),성적열람 및 이의 신청(2019.12.27-31 17:00)
2019,2019,12,12.30 (월) ~ 01.13 (월),[정시모집] 원서 접수
2019,2019,12,12.31 (화),2학기 성적 확정(18:00)
2019,2020,1,01.02 (목),시무식
2019,2020,1,01.02 (목) ~ 01.03 (금),[교내 교과목] 계절학기 수강 신청
2019,2020,1,01.06 (월) ~ 01.07 (화),[교내 교과목] 계절학기 등록
2019,2020,1,01.06 (월) ~ 01.08 (수),[재학생] 전과 / 학점•학기포기 신청
2019,2020,1,01.08 (수) ~ 01.21 (화),[교내 교과목] 계절학기 설강
2019,2020,1,01.10 (금),성적표 / 복학안내문 발송
2019,2020,1,01.20 (월) ~ 01.22 (수),2020-1학기 재입학 원서 접수
2019,2020,1,01.24 (금) ~ 01.26 (일),설날연휴
2019,2020,1,01.27 (월),대체휴일
2019,2020,2,02.03 (월),졸업•진급•입학 사정회 [교무위원회] 11:00
2019,2020,2,02.04 (화),[정시모집] 합격자 발표
2019,2020,2,02.04 (화) ~ 02.05 (수),[재학생•복학생] 휴학원서 접수
2019,2020,2,02.06 (목) ~ 02.07 (금),복학원서 접수
2019,2020,2,02.06 (목) ~ 02.10 (월),"수시 1,2차, 정시 신입생 등록"
2019,2020,2,02.13 (목),재입학 등록
2019,2020,2,02.17 (월) ~ 02.18 (화),[2학년•3학년] 1학기 수강 신청
2019,2020,2,02.18 (화) ~ 02.19 (수),재학생•복학생 등록
2019,2020,2,02.20 (목) ~ 02.21 (금),등록금 분할납부(1회차)
2019,2020,2,02.20 (목) ~ 02.21 (금),[1학년•전공심화] 1학기 수강 신청
2019,2020,2,02.21 (금),제51회 학위수여식 11:00
2019,2020,2,02.28 (금),신입생 입학식 및 O.T
2020,2020,3,03.01 (일),삼일절
2020,2020,3,03.10 (화) ~ 03.11 (수),등록금 분할납부(2회차)
2020,2020,3,03.16 (월),[2020학년도 1학기] 개강
2020,2020,3,03.19 (목) ~ 03.20 (금),수강신청 정정
2020,2020,3,03.24 (화) ~ 03.25 (수),졸업보류 등록
2020,2020,3,03.25 (수) ~ 03.27 (금),조기졸업 신청
2020,2020,4,04.03 (금),복학만료일
2020,2020,4,04.07 (화) ~ 04.08 (수),등록금 분할납부(3회차)
2020,2020,4,04.14 (화),학기 개시 30일 경과
2020,2020,4,04.15 (수),21대 국회의원 선거 ⇒ 보강일 : 6월 24일(수)
2020,2020,4,04.30 (목),부처님 오신 날 ⇒ 보강일 : 6월 25일(목)
2020,2020,5,05.01 (금),근로자의 날 ⇒ 보강일 : 6월 26일(금)
2020,2020,5,05.05 (화),어린이날 ⇒ 보강일 : 6월 23일(화)
2020,2020,5,05.06 (수) ~ 05.07 (목),등록금 분할납부(4회차)
2020,2020,5,05.11 (월) ~ 05.15 (금),중간고사
2020,2020,5,05.14 (목),학기 개시 60일 경과
2020,2020,5,05.20 (수),개교기념일 ⇒ 보강일 : 6월 22일(월)
2020,2020,5,05.21 (목) ~ 05.22 (금),노들축제
2020,2020,5,05.27 (수) ~ 05.29 (금),3년제 학과 수업연한 연장 신청
2020,2020,6,06.06 (토),현충일
2020,2020,6,06.09 (화),"1학기 수업일수 3/4 경과, 일반휴학 종료"
2020,2020,6,06.13 (토),학기 개시 90일 경과
2020,2020,6,06.22 (월),보강일 [개교기념일 5월 20일(수)]
2020,2020,6,06.23 (화),보강일 [어린이 날 5월 5일(화)]
2020,2020,6,06.24 (수),보강일 [21대 국회의원 선거 4월 15일(수)]
2020,2020,6,06.25 (목),보강일 [부처님 오신 날 4월 30일(목)]
2020,2020,6,06.26 (금),보강일 [근로자의 날 5월 1일(금)]
2020,2020,6,06.29 (월) ~ 07.03 (금),기말고사
2020,2020,7,07.04 (토) ~ 07.15 (수),강의평가 [4(토) ~ 15일(수) 17:00]
2020,2020,7,07.04 (토) ~ 07.12 (일),성적입력 [4(토) ~ 12일(일) 24:00]
2020,2020,7,07.04 (토) ~ 08.31 (월),하계방학 및 현장실습
2020,2020,7,07.13 (월) ~ 07.15 (수),성적열람 및 이의 신청 [13(월) ~ 15일(수) 17:00]
2020,2020,7,07.15 (수),[2020학년도 1학기] 성적 확정 18:00
2020,2020,7,07.20 (월) ~ 07.22 (수),복학원서 접수
2020,2020,7,07.23 (목) ~ 07.24 (금),재학생 전과 신청
2020,2020,7,07.23 (목) ~ 07.24 (금),학점•학기포기 신청
2020,2020,7,07.27 (월) ~ 07.29 (수),[2020학년도 2학기] 재입학 원서 접수
2020,2020,7,07.31 (금),성적이수표 발송
2020,2020,8,08.03 (월) ~ 08.05 (수),휴학원서 접수
2020,2020,8,08.14 (금),"후기 졸업, 입학 사정회 [교무위원회]"
2020,2020,8,08.15 (토),광복절
2020,2020,8,08.17 (월),임시공휴일
2020,2020,8,08.18 (화) ~ 08.19 (수),[2•3학년] 2학기 수강 신청
2020,2020,8,08.18 (화) ~ 08.19 (수),재학생•복학생 등록
2020,2020,8,08.19 (수),재입학 등록
2020,2020,8,08.20 (목) ~ 08.21 (금),[1학년•전공심화] 2학기 수강 신청
2020,2020,8,08.20 (목) ~ 08.21 (금),등록금 분할납부(1회차)
2020,2020,8,08.21 (금),후기 학위수여식 15:00
2020,2020,9,09.01 (화),[2020학년도 2학기] 개강
2020,2020,9,09.03 (목) ~ 09.04 (금),수강신청 정정
2020,2020,9,09.08 (화) ~ 09.09 (수),졸업보류 등록
2020,2020,9,09.08 (화) ~ 09.09 (수),등록금 분할납부(2회차)
2020,2020,9,09.14 (월) ~ 09.18 (금),"보강 ⇒ 추석연휴(9.30(수)), 온라인 보강"
2020,2020,9,09.18 (금),복학만료일
2020,2020,9,09.21 (월) ~ 09.25 (금),"보강 ⇒ 추석연휴(10.1(목)), 온라인 보강"
2020,2020,9,09.23 (수) ~ 10.13 (화),수시 1차 모집 원서 접수
2020,2020,9,09.25 (금),노들체전
2020,2020,9,09.30 (수),추석연휴
2020,2020,9,09.30 (수),학기 개시 30일 경과
2020,2020,10,10.01 (목),추석연휴
2020,2020,10,10.02 (금),추석연휴
2020,2020,10,10.03 (토),개천절
2020,2020,10,10.05 (월) ~ 10.08 (목),"보강 ⇒ 추석연휴(10.2(금)), 온라인 보강"
2020,2020,10,10.06 (화) ~ 10.07 (수),등록금 분할납부(3회차)
2020,2020,10,10.09 (금),한글날
2020,2020,10,10.20 (화) ~ 10.22 (목),중간고사
2020,2020,10,10.23 (금),보강일 ⇒ 한글날(10.9(금))
2020,2020,10,10.26 (월) ~ 10.30 (금),중간고사
2020,2020,10,10.30 (금),학기 개시 60일 경과
2020,2020,11,11.03 (화) ~ 11.04 (수),등록금 분할납부(4회차)
2020,2020,11,11.03 (화),수시 1차 모집 합격자 발표
2020,2020,11,11.23 (월) ~ 12.07 (월),수시 2차 모집 원서 접수
2020,2020,11,11.24 (화),"2학기 수업일수 3/4 경과, 일반휴학 종료"
2020,2020,11,11.29 (일),학기 개시 90일 경과
2020,2020,12,12.14 (월) ~ 12.23 (수),기말고사
2020,2020,12,12.24 (목),수시 2차 모집 합격자 발표
2020,2020,12,12.24 (목) ~ 02.28 (일),동계방학
2020,2020,12,12.24 (목) ~ 01.06 (수),강의평가(24(목) ~ 1.6(수) 17:00)
2020,2020,12,12.24 (목) ~ 01.03 (일),성적입력(24(목) ~ 1.3(일) 24:00)
2020,2020,12,12.25 (금),성탄절
2020,2020,12,12.28 (월) ~ 12.30 (수),수시예치금 등록
2020,2021,1,01.01 (금),신정
2020,2021,1,01.04 (월) ~ 01.06 (수),성적열람 및 이의 신청(1월 4일(월) ~ 6(수) 17:00)
2020,2021,1,01.04 (월),시무식 11:00
2020,2021,1,01.06 (수),[2020학년도 2학기] 성적 확정
2020,2021,1,01.07 (목) ~ 01.18 (월),정시모집 원서 접수
2020,2021,1,01.11 (월) ~ 01.13 (수),학점•학기포기 신청
2020,2021,1,01.11 (월) ~ 01.13 (수),복학원서 접수
2020,2021,1,01.15 (금),성적이수표 발송
2020,2021,1,01.20 (수) ~ 01.22 (금),재학생 전과 신청
2020,2021,1,01.20 (수) ~ 01.22 (금),[2021-1학기] 재입학 원서 접수
2020,2021,2,02.03 (수) ~ 02.05 (금),휴학원서 접수
2020,2021,2,02.04 (목),졸업•진급•입학 사정회 [교무위원회] 11:00
2020,2021,2,02.05 (금),정시모집 합격자 발표
2020,2021,2,02.08 (월) ~ 02.10 (수),"수시 1,2차, 정시 신입생 등록"
2020,2021,2,02.10 (수),재입학 등록
2020,2021,2,02.11 (목) ~ 02.13 (토),설날연휴
2020,2021,2,02.15 (월) ~ 02.16 (화),[2•3학년] 1학기 수강 신청
2020,2021,2,02.16 (화) ~ 02.17 (수),재학생•복학생 등록
2020,2021,2,02.18 (목) ~ 02.19 (금),[1학년•전공심화] 1학기 수강 신청
2020,2021,2,02.18 (목) ~ 02.19 (금),등록금 분할납부(1회차)
2020,2021,2,02.19 (금),제52회 학위수여식 11:00
2020,2021,2,02.22 (월),입학 사정회 [교무위원회] 11:00
2020,2021,2,02.26 (금),신입생 입학식 및 O·T
2021,2021,3,03.01 (월),삼일절
2021,2021,3,03.02 (화),[2021학년도 1학기] 개강
2021,2021,3,03.04 (목) ~ 03.05 (금),수강신청 정정
2021,2021,3,03.09 (화) ~ 03.10 (수),등록금 분할납부(2회차)
2021,2021,3,03.09 (화) ~ 03.10 (수),졸업보류 등록
2021,2021,3,03.10 (수) ~ 03.12 (금),조기졸업 신청
2021,2021,3,03.19 (금),복학만료일
2021,2021,3,03.31 (수),학기개시 30일 경과
2021,2021,4,04.06 (화) ~ 04.07 (수),등록금 분할납부(3회차)
2021,2021,4,04.20 (화) ~ 04.29 (목),중간고사
2021,2021,4,04.30 (금),학기개시 60일 경과
2021,2021,4,04.30 (금),보강일 : 어린이날 [5월 5일(수)]
2021,2021,5,05.05 (수),어린이날 ⇒ 보강일 : 4월 30일(금)
2021,2021,5,05.06 (목) ~ 05.07 (금),등록금 분할납부(4회차)
2021,2021,5,05.12 (수) ~ 05.14 (금),3년제 학과 수업연한 연장 신청
2021,2021,5,05.17 (월) ~ 05.18 (화),노들축제
2021,2021,5,05.19 (수),석가탄신일 ⇒ 보강일 : 6월 14일(월)
2021,2021,5,05.20 (목),개교기념일 ⇒ 보강일 : 6월 15일(화)
2021,2021,5,05.27 (목),"1학기 수업일수 3/4 경과, 일반휴학 종료"
2021,2021,5,05.30 (일),학기개시 90일 경과
2021,2021,6,06.06 (일),현충일
2021,2021,6,06.14 (월),보강일 : 석가탄신일 [5월 19일(수)]
2021,2021,6,06.15 (화),보강일 : 개교기념일 [5월 20일(목)]
2021,2021,6,06.16 (수) ~ 06.25 (금),기말고사
2021,2021,6,06.26 (토) ~ 07.04 (일),성적입력 [26(토) ∼ 7월 4일(일) 24:00까지]
2021,2021,6,06.26 (토) ~ 07.07 (수),강의평가 [26(토) ~ 7월 7일(수) 17:00]
2021,2021,6,06.26 (토),하계방학 및 현장실습 [26(토) ~ 8월 31일(화) ]
2021,2021,7,07.05 (월) ~ 07.07 (수),성적열람 및 이의 신청 [5(월) ~ 7(수) 17:00]
2021,2021,7,07.07 (수),[2021학년도 1학기] 성적 확정 18:00
2021,2021,7,07.12 (월) ~ 07.14 (수),학점•학기포기 신청
2021,2021,7,07.19 (월) ~ 07.21 (수),복학원서 접수
2021,2021,7,07.20 (화),성적이수표 발송
2021,2021,7,07.26 (월) ~ 07.28 (수),재학생 전과 신청
2021,2021,7,07.26 (월) ~ 07.28 (수),[2021학년도 2학기] 재입학 원서 접수
2021,2021,8,08.02 (월) ~ 08.04 (수),휴학원서 접수
2021,2021,8,08.06 (금),[교무위원회] 후기 졸업사정회
2021,2021,8,08.12 (목),재입학 등록
2021,2021,8,08.13 (금),후기 학위수여식
2021,2021,8,08.15 (일),광복절
2021,2021,8,08.16 (월),광복절 대체공휴일
2021,2021,8,08.17 (화) ~ 08.18 (수),[2•3학년] 2학기 수강 신청
2021,2021,8,08.17 (화) ~ 08.18 (수),재학생•복학생 등록
2021,2021,8,08.19 (목) ~ 08.20 (금),[1학년•전공심화] 2학기 수강 신청
2021,2021,8,08.19 (목) ~ 08.20 (금),등록금 분할납부(1회차)
2021,2021,9,09.01 (수),[2021학년도 2학기] 개강
2021,2021,9,09.06 (월) ~ 09.07 (화),수강신청 정정
2021,2021,9,09.07 (화) ~ 09.08 (수),졸업보류 등록
2021,2021,9,09.07 (화) ~ 09.08 (수),등록금 분할납부(2회차)
2021,2021,9,09.10 (금),수시 1차 모집 원서 접수 [10(금) ~ 10월 4일(월)]
2021,2021,9,09.17 (금),복학만료일
2021,2021,9,09.20 (월),추석연휴 ⇒ 보강일 : 09.30(목)
2021,2021,9,09.21 (화),추석연휴 ⇒ 보강일 : 12.14(화)
2021,2021,9,09.22 (수),추석연휴 ⇒ 보강일 : 12.08(수)
2021,2021,9,09.24 (금),노들체전
2021,2021,9,09.30 (목),1차 보강기간 ⇒ 보강일 : 12.09(목)
2021,2021,9,09.30 (목),1차 보강 : 추석(9.20(월)) 보강
2021,2021,9,09.30 (목),학기개시 30일 경과
2021,2021,10,10.01 (금),1차 보강 : 개천절 대체공휴일(10.4(월)) 보강
2021,2021,10,10.01 (금),1차 보강기간 ⇒ 보강일 : 12.10(금)
2021,2021,10,10.03 (일),개천절
2021,2021,10,10.04 (월),개천절 대체공휴일 ⇒ 보강일 : 10.01(금)
2021,2021,10,10.05 (화) ~ 10.06 (수),등록금 분할납부(3회차)
2021,2021,10,10.09 (토),한글날
2021,2021,10,10.11 (월),한글날 대체공휴일 ⇒ 보강일 : 12.13(월)
2021,2021,10,10.25 (월),[교무위원회] 입학 사정회 11:00
2021,2021,10,10.26 (화),수시 1차 모집 합격자 발표
2021,2021,10,10.26 (화) ~ 10.29 (금),2021 동양미래EXPO(제39회 학생졸업작품 전시회)
2021,2021,10,10.27 (수) ~ 11.02 (화),중간고사
2021,2021,10,10.30 (토),학기개시 60일 경과
2021,2021,11,11.02 (화) ~ 11.03 (수),등록금 분할납부(4회차)
2021,2021,11,11.08 (월) ~ 11.22 (월),수시 2차 모집 원서 접수
2021,2021,11,11.25 (목),"2학기 수업일수 3/4 경과, 일반휴학 종료"
2021,2021,11,11.29 (월),학기개시 90일 경과
2021,2021,12,12.08 (수),2차 보강 : 추석(09.22(수)) 보강
2021,2021,12,12.09 (목),2차 보강 : 1차 보강기간(09.30(목)) 보강
2021,2021,12,12.10 (금),2차 보강 : 1차 보강기간(10.01(금)) 보강
2021,2021,12,12.13 (월),2차 보강 : 한글날 대체공휴일(10.11(월)) 보강
2021,2021,12,12.13 (월),[교무위원회] 입학 사정회 11:00
2021,2021,12,12.14 (화),수시 2차 모집 합격자 발표
2021,2021,12,12.14 (화),2차 보강 : 추석(9.21(화)) 보강
2021,2021,12,12.15 (수) ~ 12.21 (화),기말고사
2021,2021,12,12.17 (금) ~ 12.20 (월),수시예치금 등록
2021,2021,12,12.22 (수),동계방학 [22(수) ~ 2월 28일(월)]
2021,2021,12,12.22 (수) ~ 12.28 (화),성적입력 [22(수) ~ 28(화) 24:00]
2021,2021,12,12.22 (수) ~ 12.31 (금),강의평가 [22(수) ~ 31(수) 17:00]
2021,2021,12,12.25 (토),성탄절
2021,2021,12,12.29 (수) ~ 12.31 (금),성적열람 및 이의 신청 [29(수) ~ 31(금) 17:00]
2021,2021,12,12.30 (목) ~ 01.12 (수),정시모집 원서 접수
2021,2021,12,12.31 (금),[2021학년도 2학기] 성적 확정 18:00
2021,2022,1,01.01 (토),신정
2021,2022,1,01.03 (월),시무식
2021,2022,1,01.06 (목),성적이수표 발송
2021,2022,1,01.10 (월) ~ 01.12 (수),학점•학기포기 신청
2021,2022,1,01.17 (월) ~ 01.19 (수),복학원서 접수
2021,2022,1,01.19 (수) ~ 01.21 (금),[2022학년도 1학기] 재입학 원서 접수
